.00057	0.0005821103	0.0004307259	0.0005082371	0.00057
.00114	0.0010762314	0.0008305828	0.0009594777	0.00114
.002	0.0018474282	0.0018360588	0.0018420488	0.00227
.005	0.0032967385	0.0041937368	0.0035518517	0.00455
.007	0.0050029426	0.0058907853	0.0054347826	0.00682
.009	0.0051550948	0.0057244082	0.0054347826	0.0091
.014	0.0053689213	0.0055011804	0.0054347826	0.01365
.023	0.0060021125	0.0049043814	0.0054347826	0.02275
.034	0.0068118739	0.0042571131	0.0054347826	0.03412
.057	0.0174555812	0.0008172661	0.0054347826	0.05687
.114	0.0236990985	0.0003210618	0.0054347826	0.11373
.341	0.0408430052	0.00002234	0.0054347826	0.3412
