OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.0.023	none	0	0	0	0	0	0	0	0	0	5	12	1	0	0
sim.1.023	none	0	1	0	0	0	0	0	0	0	0	5	4	14	8
sim.10.023	none	0	0	0	0	0	0	0	0	0	0	0	32	21	10
sim.100.023	none	3	0	2	8	5	5	1	1	1	0	0	0	0	0
sim.101.023	none	0	0	0	0	0	0	0	0	0	0	0	6	4	13
sim.102.023	none	0	0	0	0	0	0	0	0	0	6	1	2	2	1
sim.103.023	none	6	7	4	4	4	2	13	2	2	6	7	0	4	2
sim.104.023	none	0	0	0	0	0	0	0	0	0	7	1	3	2	2
sim.105.023	none	0	0	0	0	0	0	0	0	0	0	2	1	2	5
sim.106.023	none	0	0	3	2	0	0	2	0	0	0	0	0	0	0
sim.107.023	none	0	0	0	0	0	0	0	0	0	5	0	1	2	4
sim.108.023	none	3	3	16	14	8	9	8	16	22	7	9	13	2	11
sim.109.023	none	6	10	2	1	5	3	4	3	3	0	0	0	0	0
sim.11.023	none	0	0	0	1	3	2	0	0	0	0	0	0	0	0
sim.110.023	none	0	0	3	10	5	4	3	3	4	0	0	0	0	0
sim.111.023	none	0	0	0	0	0	0	0	0	0	0	0	2	6	3
sim.112.023	none	3	3	3	2	5	3	0	6	4	0	0	0	0	0
sim.113.023	none	0	0	0	0	0	0	0	0	0	1	4	7	5	1
sim.114.023	none	6	2	5	2	4	2	7	4	1	0	0	0	0	0
sim.115.023	none	1	1	7	4	6	2	5	1	2	0	0	0	0	0
sim.116.023	none	2	2	0	0	0	0	0	0	0	0	0	0	0	0
sim.117.023	none	0	0	0	0	0	0	0	0	0	0	0	0	15	1
sim.118.023	none	0	0	0	0	0	0	0	0	0	0	0	15	6	5
sim.119.023	none	12	17	4	1	1	1	0	0	0	0	0	0	0	0
sim.12.023	none	0	0	0	0	0	0	0	0	0	14	1	12	25	25
sim.120.023	none	0	0	0	0	0	0	0	0	0	12	2	19	11	21
sim.121.023	none	0	0	0	6	8	4	6	8	0	0	0	0	0	0
sim.122.023	none	2	0	3	0	0	3	1	8	2	0	0	0	0	0
sim.123.023	none	0	0	0	0	0	0	0	0	0	4	3	0	0	0
sim.124.023	none	0	0	1	0	3	3	3	1	1	0	0	0	0	0
sim.125.023	none	0	0	1	3	3	5	0	0	0	0	0	0	0	0
sim.126.023	none	0	0	0	0	0	0	0	0	0	1	3	6	4	7
sim.127.023	none	21	8	11	10	15	7	16	9	8	0	0	0	0	0
sim.128.023	none	0	0	0	0	0	0	0	0	0	5	5	10	13	15
sim.129.023	none	9	15	4	5	0	3	1	0	2	0	0	0	0	0
sim.13.023	none	10	15	24	34	34	29	17	8	10	0	0	0	0	0
sim.130.023	none	5	1	0	0	0	0	0	1	0	0	0	0	0	0
sim.131.023	none	0	0	0	0	0	0	0	0	0	2	0	6	1	0
sim.132.023	none	0	0	0	0	0	0	0	0	0	27	44	0	2	2
sim.133.023	none	14	7	7	9	5	4	20	12	18	0	0	0	0	0
sim.134.023	none	4	4	12	29	15	14	16	13	14	0	0	0	0	0
sim.135.023	none	0	0	0	0	0	0	0	0	0	8	2	0	0	0
sim.136.023	none	0	0	0	0	0	0	0	0	0	0	0	3	3	1
sim.137.023	none	0	0	0	0	0	0	0	0	0	2	14	4	9	9
sim.138.023	none	0	0	0	0	0	0	0	0	0	0	0	16	11	14
sim.139.023	none	0	0	0	0	2	3	5	0	6	0	0	0	0	0
sim.14.023	none	13	16	13	15	21	22	27	38	30	0	0	0	0	0
sim.140.023	none	3	11	4	2	0	0	4	1	0	0	0	0	0	0
sim.141.023	none	0	3	0	0	0	0	0	1	2	0	0	0	0	0
sim.142.023	none	8	9	3	6	4	3	3	4	2	0	0	0	0	0
sim.143.023	none	0	0	0	0	0	0	0	0	0	1	3	2	5	1
sim.144.023	none	4	0	16	15	10	13	12	5	13	0	0	0	0	0
sim.145.023	none	0	0	0	0	0	0	0	0	0	3	0	3	1	1
sim.146.023	none	9	0	3	0	0	0	0	0	0	0	0	0	0	0
sim.147.023	none	16	13	7	9	16	14	14	12	7	0	0	0	0	0
sim.148.023	none	10	11	3	10	8	4	13	5	2	0	0	0	0	0
sim.149.023	none	0	0	1	0	2	2	2	1	0	0	0	0	0	0
sim.15.023	none	0	0	3	2	3	0	0	0	3	0	0	0	0	0
sim.150.023	none	15	15	7	9	4	2	12	0	0	0	0	0	0	0
sim.151.023	none	0	0	0	0	0	0	0	0	0	7	16	1	15	10
sim.152.023	none	0	0	0	0	0	0	0	0	0	12	1	2	5	9
sim.153.023	none	0	0	0	0	0	0	0	0	0	1	1	2	8	8
sim.154.023	none	0	0	3	0	4	6	2	1	3	0	0	0	0	0
sim.155.023	none	0	0	3	10	3	4	2	1	2	9	5	2	0	1
sim.156.023	none	1	3	7	11	11	9	12	16	16	0	0	0	0	0
sim.157.023	none	0	0	0	0	0	0	0	3	2	0	0	0	0	0
sim.158.023	none	5	4	26	21	18	22	22	16	21	0	0	0	0	0
sim.159.023	none	0	7	0	0	0	0	0	0	0	0	0	0	0	0
sim.16.023	none	0	0	0	0	0	0	0	0	0	0	1	4	2	1
sim.160.023	none	3	2	1	3	0	0	0	0	0	0	0	0	0	0
sim.161.023	none	5	12	1	4	3	0	3	11	9	0	0	0	0	0
sim.162.023	none	32	12	14	20	16	9	16	14	23	1	10	0	4	2
sim.163.023	none	0	0	0	0	0	0	0	0	0	3	2	0	0	0
sim.164.023	none	0	0	0	0	0	0	0	0	0	2	2	5	0	1
sim.165.023	none	0	0	0	0	0	0	0	0	0	10	13	3	0	0
sim.166.023	none	14	14	12	2	7	9	9	2	9	0	0	0	0	0
sim.167.023	none	0	0	4	0	3	2	2	2	0	9	47	20	9	7
sim.168.023	none	1	3	9	4	7	8	7	4	5	0	0	0	0	0
sim.169.023	none	0	0	0	0	0	0	0	0	0	12	5	13	1	5
sim.17.023	none	0	0	0	3	0	0	1	0	0	0	0	0	0	0
sim.170.023	none	5	8	5	3	0	0	2	4	12	12	20	6	8	12
sim.171.023	none	0	0	0	0	0	0	0	0	0	7	5	6	0	8
sim.172.023	none	0	0	0	0	0	0	0	0	0	0	0	0	7	6
sim.173.023	none	6	8	0	0	0	0	0	0	0	0	0	0	0	0
sim.174.023	none	0	0	0	0	0	0	0	0	0	3	2	17	8	5
sim.175.023	none	0	0	0	0	0	0	0	0	0	6	4	2	0	5
sim.176.023	none	0	0	0	0	0	0	0	0	0	4	4	4	14	15
sim.177.023	none	20	9	18	18	16	18	13	19	19	0	0	0	0	0
sim.178.023	none	0	0	0	0	0	0	0	0	0	0	0	2	13	6
sim.179.023	none	0	0	0	0	0	0	0	0	0	4	2	15	9	7
sim.18.023	none	12	2	1	0	0	0	1	3	2	0	0	0	0	0
sim.180.023	none	0	1	5	2	6	6	1	3	2	0	0	0	0	0
sim.181.023	none	3	6	0	0	0	0	0	0	0	0	0	0	0	0
sim.182.023	none	0	0	0	0	0	0	0	0	0	8	0	0	0	0
sim.183.023	none	6	2	10	20	11	4	4	10	11	0	0	0	0	0
sim.184.023	none	36	37	25	22	31	22	26	64	72	0	0	0	0	0
sim.185.023	none	0	0	0	0	0	0	0	0	0	5	9	0	1	0
sim.186.023	none	16	2	6	4	3	7	1	1	1	0	0	0	0	0
sim.187.023	none	7	4	1	5	12	7	9	13	7	0	0	0	0	0
sim.188.023	none	0	0	0	0	0	0	0	0	0	5	5	0	0	0
sim.189.023	none	13	2	8	1	1	1	2	2	1	4	8	2	26	14
sim.19.023	none	14	7	9	5	16	12	8	14	11	0	0	0	0	0
sim.190.023	none	0	0	0	0	0	0	0	0	0	9	13	12	7	9
sim.191.023	none	2	1	0	0	3	1	0	1	2	0	0	0	0	0
sim.192.023	none	4	10	5	18	17	17	14	12	22	0	0	0	0	0
sim.193.023	none	0	0	0	0	0	0	0	0	0	3	4	13	5	2
sim.194.023	none	1	13	13	5	2	1	6	5	4	0	0	0	0	0
sim.195.023	none	4	9	6	10	11	18	19	11	3	12	5	1	0	1
sim.196.023	none	0	0	0	0	0	0	0	0	0	12	2	5	9	7
sim.197.023	none	0	0	0	0	0	0	0	0	0	5	8	0	0	0
sim.198.023	none	0	0	0	0	0	0	0	0	0	2	3	0	0	0
sim.199.023	none	0	0	0	0	0	0	0	0	0	2	0	9	13	4
sim.2.023	none	23	7	6	5	0	0	0	4	8	0	0	0	0	0
sim.20.023	none	1	0	0	0	0	0	0	1	2	0	0	0	0	0
sim.200.023	none	5	1	9	5	7	7	6	13	21	0	0	0	0	0
sim.201.023	none	14	0	3	11	9	10	1	10	14	0	0	0	0	0
sim.202.023	none	3	2	5	26	7	6	5	6	2	3	13	0	1	2
sim.203.023	none	2	4	5	13	18	17	8	5	7	0	0	0	0	0
sim.204.023	none	0	0	0	0	0	0	0	0	0	0	4	3	4	1
sim.205.023	none	12	7	1	4	8	8	6	3	0	0	0	2	2	1
sim.206.023	none	5	0	0	1	4	6	3	3	2	0	0	0	0	0
sim.207.023	none	0	0	0	0	0	0	0	0	0	0	0	6	4	2
