OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.0.034	none	0	0	0	0	0	0	0	0	0	0	1	4	0	0
sim.1.034	none	8	1	3	4	6	7	4	10	5	0	0	0	0	0
sim.10.034	none	4	13	0	0	0	0	0	0	0	0	0	0	0	0
sim.100.034	none	18	12	13	7	17	10	17	9	14	0	0	0	0	0
sim.101.034	none	23	18	10	6	3	9	8	11	16	0	0	0	0	0
sim.102.034	none	0	0	0	0	0	0	0	0	0	39	27	16	6	10
sim.103.034	none	1	1	0	5	9	8	3	2	0	0	0	0	0	0
sim.104.034	none	12	15	1	3	0	1	1	1	0	0	0	0	0	0
sim.105.034	none	0	0	0	0	0	0	0	0	0	1	0	25	6	2
sim.106.034	none	0	0	0	0	0	0	0	0	0	3	1	6	3	4
sim.107.034	none	0	0	0	0	0	0	0	0	0	0	10	7	15	10
sim.108.034	none	11	17	4	0	0	0	2	0	0	0	0	0	0	0
sim.109.034	none	0	0	0	0	0	0	0	0	0	18	13	1	0	1
sim.11.034	none	0	0	0	0	0	0	0	0	0	21	17	0	0	2
sim.110.034	none	0	0	0	0	0	0	0	0	0	0	0	19	4	8
sim.111.034	none	7	4	0	0	0	0	0	0	0	4	0	8	2	1
sim.112.034	none	3	5	0	0	0	0	0	0	0	0	0	0	0	0
sim.113.034	none	0	0	0	0	0	0	0	0	0	3	1	0	10	5
sim.114.034	none	15	12	7	7	14	24	12	5	6	0	0	0	0	0
sim.115.034	none	0	0	0	0	0	0	0	0	0	15	2	7	3	3
sim.116.034	none	0	0	0	0	0	0	0	0	0	0	4	0	0	0
sim.117.034	none	0	0	0	0	0	0	0	0	0	38	17	2	11	3
sim.118.034	none	0	0	0	0	0	0	0	0	0	16	1	0	0	0
sim.119.034	none	0	0	0	0	0	0	0	0	0	0	0	0	2	4
sim.12.034	none	0	0	0	0	0	0	0	0	0	0	0	0	1	9
sim.120.034	none	8	13	14	14	9	8	8	37	29	11	2	15	5	8
sim.121.034	none	0	0	0	0	0	0	0	0	0	0	0	0	9	4
sim.122.034	none	0	0	0	0	0	0	0	0	0	0	0	1	3	1
sim.123.034	none	0	0	0	0	0	0	0	0	0	0	5	0	0	0
sim.124.034	none	0	0	0	0	0	0	0	0	0	3	7	4	13	9
sim.125.034	none	1	3	2	1	3	3	3	0	0	0	0	0	0	0
sim.126.034	none	0	0	0	0	0	0	0	0	0	13	3	9	7	18
sim.127.034	none	0	5	1	3	4	4	6	0	0	45	40	18	16	22
sim.128.034	none	0	0	0	0	0	0	0	0	0	15	40	10	1	3
sim.129.034	none	6	6	33	60	26	35	29	36	35	0	0	0	0	0
sim.13.034	none	6	2	3	0	1	4	2	9	12	0	0	0	0	0
sim.130.034	none	8	5	28	16	18	12	9	24	25	0	0	0	0	0
sim.131.034	none	1	0	13	9	6	7	7	14	27	0	0	0	0	0
sim.132.034	none	0	0	0	0	0	0	0	0	0	3	1	2	5	2
sim.133.034	none	0	0	0	0	0	0	0	0	0	21	11	1	7	3
sim.134.034	none	8	21	2	4	6	7	6	8	3	0	0	0	0	0
sim.135.034	none	0	0	0	0	0	0	0	0	0	15	28	19	23	14
sim.136.034	none	0	0	0	0	0	0	0	0	0	5	5	0	0	0
sim.137.034	none	0	0	0	0	0	0	0	0	0	12	2	17	8	20
sim.138.034	none	0	0	0	0	0	0	0	0	0	1	6	10	13	17
sim.139.034	none	0	0	0	0	0	0	0	0	0	0	0	7	0	0
sim.14.034	none	0	0	0	0	0	0	0	0	0	2	4	0	0	0
sim.140.034	none	0	0	0	0	0	0	0	0	0	7	5	12	1	5
sim.141.034	none	0	0	0	0	0	0	0	0	0	0	2	8	2	5
sim.142.034	none	13	13	1	5	10	6	8	3	0	0	0	0	0	0
sim.143.034	none	0	0	0	0	0	0	0	0	0	28	34	13	26	35
sim.144.034	none	11	18	8	11	8	18	4	6	5	0	0	0	0	0
sim.145.034	none	0	0	0	2	1	0	0	3	2	0	0	0	0	0
sim.146.034	none	0	0	0	0	0	0	0	0	0	1	9	32	3	6
sim.147.034	none	0	0	0	0	0	0	0	0	0	0	0	4	9	5
sim.148.034	none	0	0	15	10	5	4	3	0	0	0	0	0	0	0
sim.149.034	none	0	0	7	0	3	0	0	3	5	0	0	0	0	0
sim.15.034	none	9	15	1	10	10	6	13	8	5	0	0	0	0	0
sim.150.034	none	0	0	0	0	0	0	0	0	0	20	26	24	0	4
sim.151.034	none	16	17	27	26	20	19	24	33	32	0	0	0	0	0
sim.152.034	none	8	9	23	13	8	13	13	23	9	0	0	0	0	0
sim.153.034	none	0	0	0	0	0	0	0	0	0	13	6	0	0	0
sim.154.034	none	8	6	0	0	0	0	0	0	0	0	0	0	0	0
sim.155.034	none	0	0	0	0	0	0	0	0	0	2	5	0	0	0
sim.156.034	none	0	0	0	0	0	0	0	0	0	0	0	7	5	8
sim.157.034	none	0	0	0	0	0	0	0	0	0	18	20	3	34	19
