OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.0.009	none	0	0	0	0	0	0	0	0	0	1	2	1	0	0
sim.1.009	none	0	2	2	3	2	2	4	1	1	0	3	0	0	0
sim.10.009	none	3	0	0	1	0	1	1	2	3	8	11	18	18	10
sim.100.009	none	3	3	2	2	2	2	1	2	1	0	0	0	0	0
sim.101.009	none	1	1	3	0	2	3	1	0	1	0	0	0	0	0
sim.102.009	none	0	0	1	1	2	3	2	2	4	0	0	0	0	0
sim.103.009	none	4	2	4	2	2	4	2	1	1	0	0	0	0	0
sim.104.009	none	4	4	10	5	7	6	4	3	3	5	6	1	3	1
sim.105.009	none	0	0	0	0	0	0	0	0	0	1	1	3	6	6
sim.106.009	none	0	0	4	0	6	4	3	4	2	0	0	0	0	0
sim.107.009	none	2	4	4	2	1	0	2	2	5	0	0	0	0	0
sim.108.009	none	0	0	0	0	0	0	0	0	0	1	2	3	0	0
sim.109.009	none	2	4	7	8	9	11	12	7	10	0	0	0	0	0
sim.11.009	none	0	0	2	6	4	5	5	5	4	2	1	1	0	0
sim.110.009	none	2	5	2	2	3	5	5	2	3	0	0	0	0	0
sim.111.009	none	0	0	0	0	0	0	0	0	0	3	2	0	0	0
sim.112.009	none	0	0	0	0	0	0	0	0	0	7	2	4	8	4
sim.113.009	none	6	5	0	0	1	1	1	1	1	0	0	0	0	0
sim.114.009	none	0	0	1	4	2	3	3	1	0	0	0	0	0	0
sim.115.009	none	0	0	0	0	0	0	0	0	0	1	1	8	19	14
sim.116.009	none	0	0	0	0	0	0	0	0	0	2	3	0	3	3
sim.117.009	none	1	3	5	3	4	3	4	1	1	0	2	0	0	0
sim.118.009	none	1	1	2	1	3	2	3	1	1	2	1	0	0	0
sim.119.009	none	0	0	0	0	0	0	0	0	0	0	0	0	2	3
sim.12.009	none	0	0	0	0	0	0	0	0	0	0	0	0	2	3
sim.120.009	none	0	0	0	0	0	0	0	0	0	3	3	5	3	5
sim.121.009	none	0	0	0	0	0	0	0	0	0	5	2	3	11	5
sim.122.009	none	1	1	2	3	1	3	3	3	2	0	5	0	0	0
sim.123.009	none	0	0	0	0	0	0	0	0	0	0	4	0	0	0
sim.124.009	none	3	3	2	2	2	2	2	5	2	0	0	0	0	0
sim.125.009	none	0	0	0	0	0	0	0	0	0	4	2	2	2	4
sim.126.009	none	4	0	6	6	4	6	5	5	5	9	3	6	6	11
sim.127.009	none	0	0	0	0	0	0	0	0	0	0	2	9	10	10
sim.128.009	none	2	1	5	2	2	2	3	0	3	0	0	0	0	0
sim.129.009	none	6	2	2	0	2	2	1	2	2	0	0	0	0	0
sim.13.009	none	0	0	0	0	0	0	0	0	0	0	2	1	1	1
sim.130.009	none	0	2	1	0	1	1	1	0	0	1	0	0	0	0
sim.131.009	none	0	0	0	0	0	0	0	0	0	8	2	0	0	0
sim.132.009	none	0	0	0	0	0	0	0	0	0	4	2	0	0	0
sim.133.009	none	1	2	4	2	1	2	0	3	5	0	0	0	0	0
sim.134.009	none	0	0	1	2	1	0	1	1	0	0	0	0	0	0
sim.135.009	none	0	0	0	0	0	0	0	0	0	0	1	1	2	3
sim.136.009	none	0	0	0	0	0	0	0	0	0	2	6	4	4	5
sim.137.009	none	9	7	0	3	4	3	3	3	3	3	0	2	0	0
sim.138.009	none	2	1	3	4	5	4	2	2	2	0	0	0	0	0
sim.139.009	none	3	7	5	4	3	3	4	3	2	4	8	14	12	9
sim.14.009	none	1	1	2	0	1	1	1	4	2	0	0	0	0	0
sim.140.009	none	4	7	5	3	1	1	1	3	5	0	0	0	0	0
sim.141.009	none	0	0	0	0	0	0	0	0	0	5	2	7	4	5
sim.142.009	none	0	0	0	0	0	0	0	0	0	1	5	0	0	0
sim.143.009	none	0	0	0	1	1	1	3	1	1	0	0	0	0	0
sim.144.009	none	1	0	1	2	1	1	1	1	5	3	3	12	10	9
sim.145.009	none	0	0	2	1	1	2	2	1	1	0	0	0	0	0
sim.146.009	none	0	0	0	0	0	0	0	0	0	0	2	7	6	6
sim.147.009	none	12	16	4	6	1	2	2	2	1	0	0	0	0	0
sim.148.009	none	2	3	0	5	5	5	6	5	1	0	0	0	0	0
sim.149.009	none	2	1	2	0	0	1	2	1	1	1	1	5	3	1
sim.15.009	none	3	0	1	3	4	2	2	2	2	0	0	0	0	0
sim.150.009	none	7	12	4	7	4	4	4	9	13	0	0	0	0	0
sim.151.009	none	0	0	0	0	0	0	0	0	0	1	8	2	2	2
sim.152.009	none	3	13	4	16	5	6	6	3	10	0	0	0	0	0
sim.153.009	none	0	0	1	0	3	2	1	0	1	1	2	0	0	0
sim.154.009	none	11	13	12	7	8	7	6	11	6	1	4	0	3	3
sim.155.009	none	0	0	0	0	0	0	0	0	0	5	10	11	7	5
sim.156.009	none	0	0	1	4	2	1	3	1	1	0	0	0	0	0
