OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.0.007	none	2	5	1	3	1	1	1	1	0	0	0	0	0	0
sim.1.007	none	5	6	11	10	9	10	9	14	14	0	0	0	3	3
sim.10.007	none	0	0	0	0	0	0	0	0	0	3	3	0	0	0
sim.100.007	none	0	0	0	0	0	0	0	0	0	3	2	0	0	0
sim.101.007	none	1	1	2	2	2	2	1	3	4	0	0	0	3	0
sim.102.007	none	0	0	0	0	0	0	0	0	0	2	2	2	3	2
sim.103.007	none	6	9	15	11	17	17	13	11	7	0	0	0	0	0
sim.104.007	none	0	0	0	0	0	0	0	0	0	0	2	3	3	2
sim.105.007	none	3	4	4	3	1	2	3	2	2	2	0	0	0	1
sim.106.007	none	0	0	0	0	0	0	0	0	0	1	1	5	1	1
sim.107.007	none	0	0	0	0	0	0	0	0	0	3	3	4	4	6
sim.108.007	none	3	4	3	4	4	4	2	4	2	0	0	0	0	0
sim.109.007	none	10	11	6	11	7	7	4	8	8	0	0	0	0	0
sim.11.007	none	1	1	1	1	1	1	0	2	0	0	0	2	2	1
sim.110.007	none	4	2	2	0	1	1	1	1	1	0	0	0	0	0
sim.111.007	none	5	6	3	1	0	0	0	0	0	3	3	2	1	1
sim.112.007	none	0	0	0	0	0	0	0	0	0	0	0	1	2	1
sim.113.007	none	0	0	0	0	0	0	0	0	0	1	2	3	1	2
sim.114.007	none	0	0	0	0	0	0	0	0	0	3	3	3	4	4
sim.115.007	none	3	3	2	1	2	2	4	4	2	0	0	1	2	3
sim.116.007	none	0	0	2	1	1	1	1	0	1	0	0	0	0	0
sim.117.007	none	1	1	1	3	0	0	0	2	1	1	1	0	0	0
sim.118.007	none	0	0	0	0	0	0	0	0	0	9	7	2	1	0
sim.119.007	none	5	3	5	4	6	7	5	8	8	0	0	2	3	3
sim.12.007	none	0	0	0	0	0	0	0	0	0	1	1	2	1	1
sim.120.007	none	0	0	0	0	0	0	0	0	0	3	2	3	7	5
sim.121.007	none	6	10	7	14	10	11	9	13	12	0	0	0	0	0
sim.122.007	none	5	7	2	2	4	2	3	2	1	0	0	0	0	0
sim.123.007	none	1	0	0	0	0	0	0	0	0	4	3	0	2	1
sim.124.007	none	0	1	2	1	1	1	1	0	0	1	0	3	3	4
sim.125.007	none	0	0	0	0	0	0	0	0	0	6	7	0	0	0
sim.126.007	none	3	2	6	5	6	8	4	3	3	5	3	0	0	0
sim.127.007	none	3	3	6	7	2	2	2	5	4	1	3	1	2	2
sim.128.007	none	0	0	0	0	0	0	0	0	0	2	2	1	1	2
sim.129.007	none	0	1	1	2	1	1	4	1	1	0	0	0	0	0
sim.13.007	none	2	1	2	2	1	2	2	1	2	0	0	0	0	0
sim.130.007	none	0	0	0	0	0	0	0	0	0	1	3	0	0	0
