OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.0.341	none	117	43	77	113	157	122	83	20	131	0	0	0	0	0
sim.1.341	none	0	18	242	128	295	340	155	335	232	0	0	0	0	0
sim.10.341	none	0	0	0	0	0	0	0	0	0	84	0	0	0	0
sim.100.341	none	46	65	0	0	0	0	0	30	42	0	0	0	0	0
sim.101.341	none	0	0	0	0	0	0	0	0	0	30	131	0	24	2
sim.102.341	none	0	0	11	7	0	0	7	12	0	0	0	0	0	0
sim.103.341	none	242	286	99	129	59	35	36	147	184	0	0	0	0	0
sim.104.341	none	0	0	0	0	0	0	0	0	0	152	204	69	198	197
sim.105.341	none	0	0	0	0	0	0	0	0	0	63	0	0	0	0
sim.106.341	none	0	0	0	0	0	0	0	0	0	177	7	126	220	307
sim.107.341	none	0	0	0	0	0	0	0	0	0	0	0	39	29	73
sim.108.341	none	204	400	168	8	10	92	68	31	44	0	0	0	0	0
sim.109.341	none	0	0	10	0	8	0	5	31	84	0	0	0	0	0
sim.11.341	none	67	78	35	96	100	73	78	153	53	0	0	0	0	0
sim.110.341	none	7	124	82	47	56	22	37	44	48	0	0	0	0	0
sim.111.341	none	35	6	38	3	23	7	5	82	166	0	0	0	0	0
sim.112.341	none	13	27	0	0	0	0	0	0	0	0	0	0	0	0
sim.113.341	none	0	0	0	0	0	0	0	0	0	53	342	152	24	8
sim.114.341	none	0	0	0	0	0	0	0	0	0	88	120	91	17	35
sim.115.341	none	77	13	0	0	0	0	0	55	28	0	0	0	0	0
sim.116.341	none	6	112	12	0	0	0	0	1	0	0	0	0	0	0
sim.117.341	none	488	221	259	329	372	414	304	378	556	0	0	0	0	0
sim.118.341	none	200	350	56	78	81	77	217	31	29	0	0	0	0	0
sim.119.341	none	0	0	15	2	46	25	17	0	0	0	0	0	0	0
sim.12.341	none	70	2	0	119	112	107	77	0	0	0	0	0	0	0
sim.120.341	none	7	57	0	53	165	202	28	43	79	0	0	0	0	0
sim.121.341	none	247	159	438	480	384	313	401	337	292	0	0	0	0	0
sim.122.341	none	0	0	0	0	0	0	0	0	0	141	59	0	0	0
sim.123.341	none	222	246	0	12	64	25	6	42	59	0	0	0	0	0
sim.124.341	none	0	0	0	0	0	0	0	0	0	23	0	0	0	0
sim.125.341	none	10	19	137	0	0	0	0	2	57	0	0	0	0	0
sim.126.341	none	0	0	0	0	0	0	0	0	0	198	100	181	298	305
sim.127.341	none	1	50	14	50	58	69	21	37	0	0	0	0	0	0
sim.128.341	none	252	223	75	214	76	85	93	91	153	0	0	0	0	0
sim.129.341	none	0	0	0	0	0	0	0	0	0	0	0	107	280	261
sim.13.341	none	31	0	141	141	149	111	133	106	75	0	0	0	0	0
sim.130.341	none	0	0	101	93	5	13	101	16	57	0	0	0	0	0
sim.131.341	none	98	329	219	332	322	244	228	233	343	0	0	0	0	0
sim.132.341	none	0	0	11	0	0	0	0	10	5	0	0	0	0	0
sim.133.341	none	0	0	0	0	0	0	0	0	0	246	94	146	200	135
sim.134.341	none	0	0	0	0	0	0	0	0	0	128	44	10	0	0
sim.135.341	none	6	59	116	39	51	43	112	81	75	0	0	0	0	0
sim.136.341	none	0	0	0	0	0	0	0	0	0	150	211	42	82	30
sim.137.341	none	0	0	0	0	0	0	0	0	0	21	137	202	41	98
sim.138.341	none	45	15	279	358	211	213	188	365	179	0	0	0	0	0
sim.139.341	none	0	0	0	0	0	0	0	0	0	31	41	103	37	0
sim.14.341	none	49	60	0	41	45	76	10	14	41	0	0	0	0	0
sim.140.341	none	0	0	0	0	0	0	0	0	0	0	0	93	15	9
sim.141.341	none	0	0	0	0	0	0	0	0	0	180	331	271	492	402
sim.142.341	none	0	22	1	63	28	24	5	52	30	0	0	0	0	0
sim.143.341	none	0	0	0	0	0	0	0	0	0	98	79	165	210	87
