OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.0.114	none	61	19	185	141	198	202	138	116	159	0	0	0	0	0
sim.1.114	none	0	0	7	25	26	27	42	1	13	0	0	0	0	0
sim.10.114	none	0	0	0	0	0	0	0	0	0	157	97	51	38	23
sim.100.114	none	11	53	25	45	44	24	32	52	41	0	0	0	0	0
sim.101.114	none	112	101	59	60	24	54	43	71	40	0	0	0	0	0
sim.102.114	none	7	1	49	26	62	62	7	49	2	0	0	0	0	0
sim.103.114	none	0	0	0	0	0	0	0	0	0	0	0	10	11	3
sim.104.114	none	0	0	0	0	0	0	0	0	0	76	31	0	8	6
sim.105.114	none	2	45	41	38	48	51	91	15	31	0	0	0	0	0
sim.106.114	none	0	0	0	0	0	0	0	0	0	0	0	7	6	0
sim.107.114	none	10	1	20	21	0	0	0	3	3	0	0	0	0	0
sim.108.114	none	0	0	0	0	0	0	0	0	0	0	0	19	3	3
sim.109.114	none	0	0	0	0	0	0	0	0	0	0	0	0	28	0
sim.11.114	none	36	27	29	13	64	41	42	76	67	0	0	0	0	0
sim.110.114	none	95	126	104	130	88	123	72	76	90	0	0	0	0	0
sim.111.114	none	0	0	4	0	0	0	0	40	37	0	0	0	0	0
sim.112.114	none	0	0	0	0	0	0	0	0	0	53	30	1	7	6
sim.113.114	none	0	0	0	0	0	0	0	0	0	0	0	31	24	27
sim.114	none.114	11	0	0	0	0	0	0	0	0	0	0	0	0	0
sim.115.114	none	0	0	0	0	0	0	0	0	0	122	65	20	6	0
sim.116.114	none	26	80	19	26	10	24	3	6	9	0	0	0	0	0
sim.117.114	none	73	64	140	89	88	98	115	93	31	0	0	0	0	0
sim.118.114	none	0	0	0	0	0	0	0	0	0	0	0	88	65	56
sim.119.114	none	0	0	0	0	0	0	0	0	0	1	23	20	11	5
sim.12.114	none	36	0	37	11	29	33	34	34	42	0	0	0	0	0
sim.120.114	none	50	5	0	29	35	51	34	22	18	0	0	0	0	0
sim.121.114	none	0	0	0	0	0	0	0	0	0	19	0	0	0	0
sim.122.114	none	1	0	0	21	3	0	1	25	14	0	0	0	0	0
sim.123.114	none	0	2	34	20	14	14	10	66	97	0	0	0	0	0
sim.124.114	none	0	0	0	0	0	0	0	0	0	25	4	7	4	4
sim.125.114	none	0	13	36	13	45	46	38	37	42	0	0	0	0	0
sim.126.114	none	0	0	0	0	0	0	0	0	0	5	27	31	0	0
sim.127.114	none	0	0	0	0	0	0	0	0	0	4	15	22	0	0
sim.128.114	none	0	0	0	0	0	0	0	0	0	21	35	0	0	0
sim.129.114	none	128	44	48	78	48	37	56	50	49	0	0	0	0	0
sim.13.114	none	0	0	1	0	4	16	12	0	0	0	0	0	0	0
sim.130.114	none	8	20	33	0	6	8	4	47	10	0	0	0	0	0
sim.131.114	none	0	0	0	0	0	0	0	0	0	0	0	13	0	0
sim.132.114	none	0	0	3	11	0	2	6	0	0	0	0	0	0	0
sim.133.114	none	0	0	0	0	0	0	0	0	0	12	0	55	22	26
sim.134.114	none	28	30	15	45	67	66	25	12	37	0	0	0	0	0
sim.135.114	none	0	0	0	0	0	0	0	0	0	14	27	0	0	0
sim.136.114	none	0	0	0	0	0	0	0	0	0	73	49	88	94	33
sim.137.114	none	0	0	0	0	0	0	0	0	0	0	0	66	83	43
sim.138.114	none	0	0	0	0	0	0	0	0	0	4	0	6	0	0
sim.139.114	none	0	0	0	0	0	0	0	0	0	27	46	32	28	29
sim.14.114	none	0	0	0	0	0	0	0	0	0	18	35	23	8	18
sim.140.114	none	0	0	0	0	0	0	0	0	0	123	148	16	16	34
sim.141.114	none	0	0	0	0	0	0	0	0	0	25	0	0	1	24
sim.142.114	none	35	10	2	41	12	11	17	32	14	0	0	0	0	0
sim.143.114	none	35	22	11	22	57	40	46	8	26	0	0	0	0	0
sim.144.114	none	0	0	0	0	0	0	0	0	0	13	27	47	34	43
sim.145.114	none	2	14	14	13	18	5	6	0	10	0	0	0	0	0
sim.146.114	none	0	0	0	0	0	0	0	0	0	18	5	12	18	23
sim.147.114	none	0	0	0	0	0	0	0	0	0	24	7	13	0	0
sim.148.114	none	0	0	0	0	0	0	0	0	0	18	64	8	2	1
sim.149.114	none	0	0	0	0	0	0	0	0	0	14	0	4	10	66
sim.15.114	none	0	0	21	4	8	31	6	15	0	0	0	0	0	0
sim.150.114	none	35	20	17	33	39	57	48	3	6	0	0	0	0	0
sim.151.114	none	0	0	0	0	0	0	0	0	0	53	63	62	24	11
sim.152.114	none	0	0	0	0	0	0	0	0	0	84	60	18	28	20
sim.153.114	none	0	0	0	0	0	0	0	0	0	6	6	71	35	59
sim.154.114	none	3	28	28	24	26	32	8	11	1	0	0	0	0	0
sim.155.114	none	0	0	0	0	0	0	0	0	0	29	0	35	26	42
sim.156.114	none	44	88	70	74	69	107	22	93	79	0	0	0	0	0
sim.157.114	none	11	11	15	45	10	8	28	47	34	0	0	0	0	0
sim.158.114	none	6	16	6	5	26	11	16	56	51	0	0	0	0	0
sim.159.114	none	0	0	0	0	0	0	0	0	0	42	21	7	1	16
sim.16.114	none	0	0	0	0	0	0	0	0	0	0	0	3	8	16
sim.160.114	none	0	0	0	0	0	0	0	0	0	14	16	0	0	0
sim.161.114	none	0	0	0	0	0	0	0	0	0	0	0	49	50	39
sim.162.114	none	0	0	0	0	0	0	0	0	0	0	0	31	44	65
sim.163.114	none	0	0	0	0	0	0	0	0	0	51	5	0	0	0
sim.164.114	none	79	106	25	25	83	86	30	68	48	0	0	6	20	9
sim.165.114	none	0	0	0	0	0	0	0	0	0	5	20	0	0	0
sim.166.114	none	0	0	0	0	0	0	0	0	0	0	1	9	1	13
sim.167.114	none	3	10	30	36	24	14	19	12	12	4	17	6	0	0
sim.168.114	none	0	0	0	0	0	0	0	0	0	42	12	0	0	0
sim.169.114	none	38	29	0	4	0	0	1	0	1	0	0	0	0	0
sim.17.114	none	25	21	0	8	7	16	15	29	11	0	0	0	0	0
sim.170.114	none	30	41	5	19	31	52	22	19	1	0	0	0	0	0
sim.171.114	none	30	23	125	112	42	87	17	135	98	0	0	0	0	0
sim.172.114	none	0	0	0	0	0	0	0	0	0	11	39	92	23	12
sim.173.114	none	0	0	0	0	0	0	0	0	0	0	0	15	0	0
sim.174.114	none	22	68	16	43	26	34	35	21	11	0	0	0	0	0
sim.175.114	none	0	0	0	0	0	0	0	0	0	19	5	9	27	25
sim.176.114	none	60	10	33	100	28	30	31	17	8	0	0	0	0	0
sim.177.114	none	0	0	0	0	0	0	0	0	0	40	2	129	82	100
sim.178.114	none	0	0	0	0	0	0	0	0	0	21	20	0	0	0
sim.179.114	none	0	0	0	0	0	0	0	0	0	0	0	39	7	29
sim.18.114	none	1	6	10	32	9	6	20	45	30	0	0	0	0	0
sim.180.114	none	88	127	30	0	9	6	10	7	8	0	0	0	0	0
sim.181.114	none	0	0	0	0	0	0	0	0	0	1	16	0	0	0
sim.182.114	none	0	2	0	0	0	0	0	0	0	67	35	0	0	0
sim.183.114	none	0	12	9	0	0	1	14	4	21	0	0	0	0	0
sim.184.114	none	0	0	0	4	24	38	42	9	3	0	0	0	0	0
sim.185.114	none	0	0	0	0	0	0	0	0	0	12	71	92	90	56
sim.186.114	none	0	0	0	0	0	0	0	0	0	9	29	82	118	68
sim.187.114	none	0	0	0	0	0	0	0	0	0	9	12	0	0	0
sim.188.114	none	0	0	0	0	0	0	0	0	0	110	107	18	7	6
sim.189.114	none	0	0	0	0	0	0	0	0	0	72	51	68	41	28
sim.19.114	none	10	17	8	37	14	21	17	80	70	0	0	0	0	0
sim.190.114	none	0	0	0	0	0	0	0	0	0	50	78	15	66	107
sim.191.114	none	0	0	0	0	0	0	0	0	0	5	17	8	5	5
sim.192.114	none	0	0	0	0	0	0	0	0	0	8	12	11	9	3
sim.193.114	none	0	0	0	0	0	0	0	0	0	51	23	52	73	19
sim.194.114	none	0	0	0	0	0	0	0	0	0	75	38	32	31	27
sim.195.114	none	22	36	200	87	46	42	71	110	68	0	0	0	0	0
sim.196.114	none	0	0	0	0	0	0	0	0	0	4	0	0	0	0
sim.197.114	none	0	0	0	1	0	2	1	5	1	0	0	0	0	0
sim.198.114	none	0	0	0	0	0	0	0	0	0	89	65	19	0	0
sim.199.114	none	1	0	43	38	58	43	94	30	11	0	0	0	0	0
sim.2.114	none	0	0	0	0	0	0	0	0	0	0	0	25	3	20
sim.20.114	none	6	28	0	0	17	17	17	0	2	0	0	0	0	0
sim.200.114	none	81	29	13	1	0	0	0	4	22	0	0	0	0	0
sim.201.114	none	0	0	0	0	0	0	0	0	0	0	18	0	0	0
sim.202.114	none	17	68	51	34	169	134	138	30	26	0	0	0	0	0
sim.203.114	none	160	89	34	3	19	12	11	21	30	0	0	0	0	0
sim.204.114	none	0	0	0	0	0	0	0	0	0	16	7	0	0	0
sim.205.114	none	0	0	0	0	0	0	0	0	0	62	52	24	15	5
sim.206.114	none	10	0	1	1	3	6	8	0	3	0	0	13	12	31
sim.207.114	none	0	0	0	0	0	0	0	0	0	0	1	10	24	54
sim.208.114	none	0	0	0	0	0	0	0	0	0	2	59	22	0	0
sim.209.114	none	0	0	0	0	0	0	0	0	0	0	4	0	0	0
sim.21.114	none	0	0	0	0	0	0	0	0	0	0	0	56	57	11
sim.210.114	none	10	14	7	16	5	1	0	14	6	0	0	0	0	0
sim.211.114	none	0	0	0	0	0	0	0	0	0	0	50	18	35	16
sim.212.114	none	0	0	0	0	0	0	0	0	0	62	81	48	118	212
sim.213.114	none	8	35	0	0	0	0	0	0	0	0	0	0	0	0
sim.214.114	none	0	0	0	0	0	0	0	0	0	65	59	22	34	9
sim.215.114	none	15	36	0	0	0	0	0	19	31	0	0	0	0	0
sim.216.114	none	49	57	7	5	0	0	0	21	23	0	0	0	0	0
sim.217.114	none	0	0	0	0	0	0	0	0	0	6	10	24	29	30
sim.218.114	none	34	18	13	4	4	2	11	26	14	0	0	0	0	0
sim.219.114	none	55	25	15	19	20	16	18	3	10	0	0	0	0	0
sim.22.114	none	0	0	0	0	0	0	0	0	0	37	110	19	10	45
sim.220.114	none	27	1	46	21	19	3	16	17	23	0	0	0	0	0
sim.221.114	none	5	0	0	0	0	0	0	0	0	0	0	0	0	0
sim.222.114	none	46	7	67	47	45	63	30	26	88	0	0	0	0	0
sim.223.114	none	0	0	0	0	0	0	0	0	0	0	0	4	50	18
sim.224.114	none	0	0	0	0	0	0	0	0	0	0	96	130	28	28
sim.225.114	none	20	11	7	4	24	46	39	31	43	0	0	0	0	0
sim.226.114	none	25	5	58	114	81	99	58	89	137	0	0	0	0	0
sim.227.114	none	0	0	48	8	5	4	12	0	0	0	0	0	0	0
sim.228.114	none	0	0	0	0	0	0	0	0	0	13	31	38	70	55
sim.229.114	none	4	0	0	0	0	0	0	0	0	0	0	0	0	0
sim.23.114	none	0	0	0	0	0	0	0	0	0	10	6	10	15	3
sim.230.114	none	0	0	0	0	0	0	0	0	0	0	0	25	0	0
sim.231.114	none	0	0	0	0	0	0	0	0	0	30	5	40	41	34
sim.232.114	none	0	0	0	0	0	0	0	0	0	54	31	28	64	42
sim.233.114	none	0	0	0	0	0	0	0	0	0	38	28	4	28	15
sim.234.114	none	0	0	0	0	0	0	0	0	0	31	0	0	0	0
sim.235.114	none	0	0	0	0	0	0	0	0	0	0	0	17	43	19
sim.236.114	none	18	1	49	52	59	56	58	94	113	0	0	0	0	0
sim.237.114	none	0	0	0	0	0	0	0	0	0	0	2	0	5	0
sim.238.114	none	0	0	0	0	0	0	0	0	0	8	2	0	0	0
sim.239.114	none	0	0	0	0	0	0	0	0	0	49	26	0	26	41
sim.24.114	none	0	0	0	0	0	0	0	0	0	0	0	3	1	0
sim.240.114	none	3	8	25	21	21	35	49	20	28	0	0	0	0	0
sim.241.114	none	0	0	0	0	0	0	0	0	0	5	9	39	5	13
sim.242.114	none	95	72	3	38	2	1	28	42	44	0	0	0	0	0
sim.243.114	none	0	0	0	0	0	0	0	0	0	20	6	7	1	12
sim.244.114	none	0	0	0	0	0	0	0	0	0	0	8	0	0	0
sim.245.114	none	0	0	0	0	0	0	0	0	0	0	9	0	14	11
sim.246.114	none	0	0	0	0	0	0	0	0	0	0	0	82	81	99
sim.247.114	none	0	0	0	0	0	0	0	0	0	53	33	68	52	34
sim.248.114	none	0	0	0	0	0	0	0	0	0	8	0	0	0	0
sim.249.114	none	0	0	0	0	0	0	0	0	0	0	0	69	68	54
sim.25.114	none	95	159	153	111	123	89	85	101	77	0	0	0	0	0
sim.250.114	none	0	0	0	0	0	0	0	0	0	101	19	0	0	0
sim.251.114	none	11	10	0	0	0	0	0	0	1	0	0	0	0	0
sim.252.114	none	0	0	26	11	0	0	4	33	17	0	0	0	0	0
sim.253.114	none	0	0	0	0	0	0	0	0	0	4	59	0	0	0
sim.254.114	none	0	0	0	0	0	0	0	0	0	0	0	18	88	28
sim.255.114	none	0	0	0	0	0	0	0	0	0	0	47	8	46	41
sim.256.114	none	1	10	0	0	0	0	0	5	0	0	0	0	0	0
sim.257.114	none	0	0	0	0	0	0	0	0	0	0	0	18	24	11
sim.258.114	none	10	14	0	22	5	12	25	22	16	0	0	0	0	0
sim.259.114	none	49	65	11	48	20	19	13	80	24	0	0	0	0	0
sim.26.114	none	0	0	0	0	0	0	0	0	0	35	11	29	25	38
sim.260.114	none	0	0	0	0	0	0	0	0	0	22	22	0	0	0
sim.261.114	none	0	0	0	0	0	0	0	0	0	80	22	41	117	86
sim.262.114	none	46	23	12	37	21	25	36	38	28	0	0	0	0	0
sim.263.114	none	0	0	0	0	0	0	0	0	0	51	84	55	62	68
sim.264.114	none	18	35	2	23	0	6	2	24	27	0	0	0	0	0
sim.265.114	none	0	7	0	8	4	3	0	0	0	0	0	0	0	0
sim.266.114	none	0	0	0	0	0	0	0	0	0	4	0	71	15	11
sim.267.114	none	36	14	8	8	18	10	10	34	4	0	0	0	0	0
sim.268.114	none	0	0	0	0	0	0	0	0	0	2	8	0	0	0
sim.269.114	none	0	0	0	0	0	0	0	0	0	0	43	40	10	29
sim.27.114	none	0	0	0	0	0	0	0	0	0	0	0	16	5	0
sim.270.114	none	62	14	1	9	16	5	5	8	9	0	0	0	0	0
sim.271.114	none	0	0	0	0	0	0	0	0	0	0	0	27	25	0
sim.272.114	none	0	0	0	0	0	0	0	0	0	0	0	22	21	14
sim.273.114	none	0	0	0	0	0	0	0	0	0	21	37	0	1	7
sim.274.114	none	0	0	0	0	0	0	0	0	0	27	3	14	3	0
sim.275.114	none	0	0	0	0	0	0	0	0	0	62	1	32	29	41
sim.276.114	none	71	68	24	61	38	36	82	33	59	0	0	0	0	0
sim.277.114	none	27	13	0	2	2	6	0	4	6	0	0	0	0	0
sim.278.114	none	0	0	0	0	0	0	0	0	0	33	0	0	0	0
sim.279.114	none	0	0	0	18	0	0	0	8	5	0	0	0	0	0
sim.28.114	none	0	0	0	0	0	0	0	0	0	0	0	0	0	4
sim.280.114	none	74	65	46	181	109	132	96	148	114	0	0	0	0	0
sim.281.114	none	65	33	129	58	55	51	66	114	82	0	0	0	0	0
sim.282.114	none	0	0	0	0	0	0	0	0	0	0	0	38	8	0
sim.283.114	none	0	0	0	0	0	0	0	0	0	42	27	84	105	82
sim.284.114	none	0	0	0	0	0	0	0	0	0	4	0	6	8	24
