OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.0.057	none	0	0	0	0	0	0	0	0	0	13	10	79	41	53
sim.1.057	none	0	0	0	0	0	0	0	0	0	11	1	0	0	1
sim.10.057	none	0	0	0	0	0	0	0	0	0	0	0	17	4	3
sim.100.057	none	33	33	84	96	57	48	47	46	55	0	0	0	0	0
sim.101.057	none	4	2	0	0	0	0	0	0	0	0	0	0	0	0
sim.102.057	none	29	13	26	3	4	5	14	11	10	0	0	0	0	0
sim.103.057	none	46	21	91	31	57	45	61	30	45	0	0	0	0	0
sim.104.057	none	52	42	5	19	6	3	4	16	9	0	0	0	0	0
sim.105.057	none	0	0	0	0	0	0	10	0	0	0	0	0	0	0
sim.106.057	none	0	0	0	0	0	0	0	0	0	9	14	28	17	25
sim.107.057	none	0	0	0	0	0	0	0	0	0	11	11	72	59	62
sim.108.057	none	27	16	0	2	0	0	9	12	0	0	0	0	0	0
sim.109.057	none	31	26	0	0	0	0	0	0	0	0	0	0	0	0
sim.11.057	none	17	7	26	15	25	14	26	36	23	0	0	0	0	0
sim.110.057	none	21	2	30	9	0	2	2	4	1	0	0	0	0	0
sim.111.057	none	0	0	0	0	0	0	0	0	0	3	7	0	0	0
sim.112.057	none	0	0	0	0	0	0	0	0	0	14	4	0	0	0
sim.113.057	none	0	7	0	0	0	0	0	0	0	12	3	0	0	0
sim.114.057	none	0	0	0	0	0	0	0	0	0	1	18	7	28	8
sim.115.057	none	18	14	10	16	12	12	12	3	0	0	0	0	0	0
sim.116.057	none	0	0	0	0	0	0	0	0	0	0	0	11	21	21
sim.117.057	none	0	0	0	0	0	0	0	0	0	7	2	7	5	10
sim.118.057	none	0	0	0	0	0	0	0	0	0	7	12	0	0	0
sim.119.057	none	0	0	0	0	0	0	0	0	0	4	21	0	0	0
sim.12.057	none	0	0	0	0	0	0	0	0	0	0	0	13	33	25
sim.120.057	none	0	0	0	0	0	0	0	0	0	3	11	1	1	0
sim.121.057	none	3	7	0	0	0	0	0	0	0	0	0	0	0	0
sim.122.057	none	3	4	0	0	0	0	0	0	0	0	0	0	0	0
sim.123.057	none	18	9	20	8	6	7	7	3	20	0	0	0	0	0
sim.124.057	none	0	0	0	0	0	0	0	0	0	18	0	0	0	0
sim.125.057	none	3	7	2	1	3	7	0	1	5	0	0	0	0	0
sim.126.057	none	0	0	0	0	0	0	0	0	0	12	10	0	0	0
sim.127.057	none	3	2	19	16	13	17	30	25	16	0	0	0	0	0
sim.128.057	none	1	6	16	29	12	8	44	19	26	0	0	0	0	0
sim.129.057	none	3	23	0	0	0	0	0	0	0	0	0	0	0	0
sim.13.057	none	0	0	0	0	0	0	0	0	0	4	5	13	13	19
sim.130.057	none	0	0	0	0	0	0	0	0	0	4	0	47	16	24
sim.131.057	none	14	0	27	5	2	2	3	25	21	0	0	0	0	0
sim.132.057	none	0	0	0	0	0	0	0	0	0	35	43	0	0	0
sim.133.057	none	0	0	0	0	0	0	0	7	5	0	0	0	0	0
sim.134.057	none	0	0	0	0	0	0	0	0	0	0	11	0	0	0
