OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.0.005	none	0	2	1	5	5	5	4	2	3	0	0	0	0	0
sim.1.005	none	0	0	3	1	1	1	1	0	0	1	1	2	1	0
sim.10.005	none	0	2	1	0	1	1	0	0	1	2	2	3	5	5
sim.100.005	none	1	3	2	1	1	1	1	0	0	0	0	3	3	3
sim.101.005	none	0	0	0	0	0	0	0	0	0	1	1	1	1	1
sim.102.005	none	2	2	4	3	2	1	2	3	3	0	0	0	0	0
sim.103.005	none	1	1	1	0	1	1	1	1	1	0	0	0	0	0
sim.104.005	none	0	0	0	0	0	0	0	0	0	2	1	0	1	1
sim.105.005	none	0	0	0	0	0	0	0	0	0	1	0	2	1	1
sim.106.005	none	0	0	0	0	0	0	0	0	0	2	3	3	3	3
sim.107.005	none	0	0	0	0	0	0	0	0	0	0	0	3	4	1
sim.108.005	none	0	0	0	0	0	0	0	0	0	3	7	4	6	6
sim.109.005	none	2	1	1	1	1	1	1	1	1	2	1	1	1	2
sim.11.005	none	0	1	1	1	1	1	1	2	2	4	2	6	3	3
sim.110.005	none	1	1	4	1	1	1	1	2	2	1	2	1	1	1
sim.111.005	none	10	2	2	5	4	4	4	4	5	3	1	1	1	1
sim.112.005	none	2	2	0	1	3	2	1	0	3	2	2	2	1	1
sim.113.005	none	0	0	0	0	0	0	0	0	0	0	0	1	3	1
sim.114.005	none	1	1	3	6	4	4	5	3	4	2	1	1	5	3
sim.115.005	none	1	0	1	0	1	0	1	1	1	0	0	0	0	0
sim.116.005	none	2	2	1	2	0	0	0	0	0	1	2	0	0	0
sim.117.005	none	0	0	0	0	0	0	0	0	0	2	2	0	1	1
sim.118.005	none	1	1	0	0	0	0	0	0	0	1	1	0	0	0
sim.119.005	none	0	0	0	0	0	0	0	0	0	4	1	2	4	1
sim.12.005	none	1	1	2	1	2	2	2	1	1	2	0	1	0	1
sim.120.005	none	3	2	1	1	2	2	1	2	3	0	0	0	0	0
sim.121.005	none	0	2	2	3	4	4	3	2	1	0	0	0	0	0
sim.122.005	none	1	1	0	0	0	0	0	0	0	2	3	6	7	5
sim.123.005	none	1	1	1	0	1	1	2	1	1	0	0	0	0	0
sim.124.005	none	1	2	1	0	0	0	1	1	1	0	0	0	1	0
sim.125.005	none	1	2	1	1	1	1	1	0	0	2	0	5	4	3
sim.126.005	none	1	1	0	1	1	1	2	2	1	2	3	0	1	2
sim.127.005	none	1	3	2	3	2	2	2	6	5	3	2	0	0	0
sim.128.005	none	7	5	10	7	9	8	8	5	5	0	0	0	0	0
sim.129.005	none	4	6	2	0	0	0	0	0	1	0	2	0	1	2
sim.13.005	none	0	0	0	0	0	0	0	0	0	1	1	4	1	2
sim.130.005	none	2	1	1	0	1	1	1	1	0	1	1	1	2	1
sim.131.005	none	0	0	2	1	1	0	0	1	1	2	0	0	0	0
sim.132.005	none	0	0	0	0	0	0	0	1	2	1	1	0	0	0
sim.133.005	none	1	0	1	2	1	1	1	1	1	0	1	0	1	1
sim.134.005	none	2	2	3	6	4	4	5	4	4	0	0	0	0	0
sim.135.005	none	2	1	0	0	2	2	2	2	2	1	6	1	1	1
sim.136.005	none	0	0	0	0	0	0	0	0	0	1	5	1	0	1
sim.137.005	none	2	2	1	1	1	1	1	2	0	0	0	0	0	0
sim.138.005	none	4	6	3	3	2	2	4	3	3	5	3	4	3	3
sim.139.005	none	0	0	0	0	0	0	0	0	0	4	7	1	0	1
sim.14.005	none	1	1	2	1	2	3	2	2	1	1	1	4	4	1
sim.140.005	none	1	0	1	1	1	1	2	1	1	1	1	0	0	0
sim.141.005	none	1	1	3	1	3	3	2	1	3	0	0	0	0	0
sim.142.005	none	3	1	1	1	1	1	1	0	0	1	2	0	0	0
sim.143.005	none	0	0	3	1	2	2	1	1	2	4	2	1	2	1
sim.144.005	none	2	1	3	1	1	1	1	2	2	0	0	1	1	0
sim.145.005	none	0	0	1	1	1	1	1	0	0	2	0	0	1	1
sim.146.005	none	1	1	2	0	1	1	1	2	2	1	1	0	0	0
sim.147.005	none	0	0	0	0	0	0	0	0	0	4	1	0	0	0
sim.148.005	none	0	0	0	1	1	1	1	1	1	1	3	0	0	0
sim.149.005	none	0	0	0	0	0	0	0	0	0	3	2	0	0	0
sim.15.005	none	0	0	0	0	0	0	0	0	0	3	4	4	4	4
sim.150.005	none	0	0	0	0	0	0	0	0	0	1	2	4	2	2
sim.151.005	none	1	2	2	1	1	1	1	1	2	0	1	3	1	1
sim.152.005	none	0	0	0	0	0	0	0	0	0	1	0	1	2	1
sim.153.005	none	3	3	2	5	1	1	3	4	3	4	6	6	4	4
sim.154.005	none	0	0	0	0	0	0	0	0	0	2	1	0	1	1
sim.155.005	none	2	4	2	3	3	3	4	2	2	0	0	0	0	0
sim.156.005	none	0	0	0	0	0	0	0	0	0	2	2	3	4	3
sim.157.005	none	3	4	2	7	5	4	6	4	5	4	1	1	2	2
sim.158.005	none	0	1	1	1	1	1	1	1	0	0	0	0	0	0
sim.159.005	none	1	1	1	1	1	1	1	0	1	0	0	0	0	0
sim.16.005	none	0	0	0	0	0	0	0	0	0	0	0	1	2	3
sim.160.005	none	1	0	0	0	0	0	0	0	0	2	2	3	5	3
sim.161.005	none	2	1	1	1	1	1	1	0	0	0	0	0	0	0
sim.162.005	none	3	2	1	2	2	2	1	3	4	3	2	2	2	2
sim.163.005	none	0	0	0	0	0	0	0	0	0	2	2	2	10	10
sim.164.005	none	4	2	3	2	2	2	2	2	2	2	0	0	0	0
sim.165.005	none	2	1	1	2	1	1	1	1	1	1	1	0	0	0
sim.166.005	none	1	1	2	0	1	1	1	1	1	0	0	1	1	1
sim.167.005	none	0	0	0	0	0	0	0	0	0	0	0	2	1	4
sim.168.005	none	1	0	1	0	2	1	1	2	2	0	0	0	0	0
sim.169.005	none	1	0	3	3	6	4	3	3	3	5	4	2	2	2
sim.17.005	none	3	2	2	2	4	3	5	3	2	0	0	0	0	0
sim.170.005	none	0	0	0	0	0	0	0	0	0	3	1	3	4	8
sim.171.005	none	0	0	0	2	0	1	1	1	1	0	0	0	0	0
sim.172.005	none	0	0	0	0	0	0	0	0	0	0	4	0	0	0
sim.173.005	none	0	0	1	3	1	2	2	0	0	1	0	0	0	0
sim.174.005	none	1	1	2	2	2	2	2	2	3	0	0	0	0	0
sim.175.005	none	1	1	1	0	1	1	1	2	2	2	0	0	2	1
sim.176.005	none	1	1	6	4	4	4	4	7	5	0	0	0	0	0
sim.177.005	none	3	1	1	3	2	2	2	4	4	0	0	0	0	0
sim.178.005	none	1	2	2	3	4	3	3	2	3	0	0	0	0	0
sim.179.005	none	0	1	1	0	1	1	3	0	1	1	1	0	1	1
sim.18.005	none	3	3	4	3	4	4	5	3	3	0	0	0	0	0
sim.180.005	none	4	8	7	3	6	5	5	4	6	1	2	1	0	0
sim.181.005	none	1	2	1	2	1	2	2	2	3	0	0	0	0	0
sim.182.005	none	0	0	0	0	0	0	0	0	0	1	1	2	0	1
sim.183.005	none	1	1	1	1	1	1	1	1	1	1	1	1	2	2
sim.184.005	none	0	0	0	0	0	0	0	0	0	2	4	5	3	4
